Listing_Postion,Title,Brand,MRP,Price,Count_of_Rating,Count_of_reviews,Average_Rating_Score,Product_URL,Image_URL
40,LG QNED81 139 cm (55 inch) 4K Ultra HD QNED WebOS TV with LG Voice Search (2022 model),LG ,119990.0,80990.0,10.0,10.0,3.9,https://www.croma.com/lg-qned81-139-cm-55-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258884,/lg-qned81-139-cm-55-inch-4k-ultra-hd-qned-webos-tv-with-lg-voice-search-2022-model-/p/258884
41,LG UQ75 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,71990.0,57490.0,3.0,3.0,5.0,https://www.croma.com/lg-uq75-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257092,/lg-uq75-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/257092
42,LG UQ75 165.1 cm (65 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,104990.0,89990.0,,,,https://www.croma.com/lg-uq75-165-1-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/258889,/lg-uq75-165-1-cm-65-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/258889
43,LG UQ80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with Voice Assistance (2022 model),LG ,84990.0,48990.0,3.0,3.0,5.0,https://www.croma.com/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/259359,/lg-uq80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-voice-assistance-2022-model-/p/259359
44,LG NANO75 217 cm (86 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG ,554990.0,469990.0,1.0,1.0,4.0,https://www.croma.com/lg-nano75-217-cm-86-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258429,/lg-nano75-217-cm-86-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258429
45,LG NANO75 164 cm (65 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance (2022 model),LG ,134990.0,99990.0,6.0,6.0,4.5,https://www.croma.com/lg-nano75-164-cm-65-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258431,/lg-nano75-164-cm-65-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance-2022-model-/p/258431
46,LG NANO75 139 cm (55 inch) 4K Ultra HD Nano Cell WebOS TV with Voice Assistance,LG ,94990.0,78990.0,55.0,53.0,4.6,https://www.croma.com/lg-nano75-139-cm-55-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance/p/258430,/lg-nano75-139-cm-55-inch-4k-ultra-hd-nano-cell-webos-tv-with-voice-assistance/p/258430
47,LG G2 164 cm (65 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG ,399990.0,292990.0,1.0,1.0,5.0,https://www.croma.com/lg-g2-164-cm-65-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258426,/lg-g2-164-cm-65-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258426
48,LG G2 139 cm (55 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG ,254990.0,156990.0,10.0,10.0,4.3,https://www.croma.com/lg-g2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258424,/lg-g2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258424
49,LG B2 139 cm (55 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG ,159990.0,134990.0,,,,https://www.croma.com/lg-b2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258423,/lg-b2-139-cm-55-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258423
